0.32	0.6929135	1.11029883	25000	30	900
0.32	0.6929135	1.11029883	25000	30	850
0.32	0.6929135	1.11029883	25000	30	800
0.32	0.6929135	1.11029883	25000	30	750
0.32	0.6929135	1.11029883	25000	30	700
0.32	0.6929135	1.11029883	25000	30	650
0.43	1.1427507	0.66287951	25000	30	600
0.43	1.1427507	0.66287951	25000	30	550
0.43	1.1427507	0.66287951	25000	30	150
0.31	0.64087246	1.12679908	25000	30	500
0.31	0.64087246	1.12679908	25000	30	450
0.31	0.64087246	1.12679908	25000	30	400
0.31	0.64087246	1.12679908	25000	30	350
0.31	0.64087246	1.12679908	25000	30	300
0.31	0.64087246	1.12679908	25000	30	250
0.31	0.64087246	1.12679908	25000	30	200
0.42	1.13880043	0.75727413	25000	30	1100
0.42	1.13880043	0.75727413	25000	30	1050
0.42	1.13880043	0.75727413	25000	30	950
0.47	1.22900684	0.59506954	25000	30	150
0.47	1.22900684	0.59506954	25000	30	200
0.47	1.22900684	0.59506954	25000	30	250
0.47	1.22900684	0.59506954	25000	30	300
0.47	1.20920011	0.60428579	25000	30	400
0.47	1.20920011	0.60428579	25000	30	500
0.47	1.20920011	0.60428579	25000	30	600
0.47	1.20920011	0.60428579	25000	30	700
0.47	1.20920011	0.60428579	25000	30	800
0.47	1.20920011	0.60428579	25000	30	900
0.47	1.20920011	0.60428579	25000	30	1000
